[2025-11-18T19:23:54+02:00] export failure tdtpcli (resource=, records=0, duration=0s)
[2025-11-18T19:24:33+02:00] export failure tdtpcli (resource=, records=0, duration=0s)
[2025-11-18T19:35:14+02:00] export failure tdtpcli (resource=, records=0, duration=0s)
[2025-11-18T19:36:27+02:00] export failure tdtpcli (resource=, records=0, duration=0s)
[2025-11-18T19:37:11+02:00] query success tdtpcli (resource=, records=0, duration=0s)
[2025-11-18T19:44:56+02:00] query success tdtpcli (resource=, records=0, duration=0s)
[2025-11-18T19:45:34+02:00] export success tdtpcli (resource=, records=0, duration=0s)
[2025-11-18T19:46:40+02:00] export success tdtpcli (resource=, records=0, duration=0s)
[2025-11-18T19:47:48+02:00] export success tdtpcli (resource=, records=0, duration=0s)
[2025-11-18T19:47:48+02:00] export success tdtpcli (resource=, records=0, duration=0s)
[2025-11-18T19:48:34+02:00] export success tdtpcli (resource=, records=0, duration=0s)
[2025-11-18T19:48:34+02:00] export success tdtpcli (resource=, records=0, duration=0s)
[2025-11-18T19:50:36+02:00] export success tdtpcli (resource=, records=0, duration=0s)
[2025-11-18T19:50:36+02:00] export success tdtpcli (resource=, records=0, duration=0s)
[2025-11-18T19:52:14+02:00] export success tdtpcli (resource=, records=0, duration=0s)
[2025-11-18T19:52:14+02:00] export success tdtpcli (resource=, records=0, duration=0s)
[2025-11-18T19:55:27+02:00] transform success tdtpcli (resource=, records=0, duration=0s)
[2025-11-18T20:15:23+02:00] transform success tdtpcli (resource=, records=0, duration=0s)
[2025-11-18T20:17:29+02:00] transform success tdtpcli (resource=, records=0, duration=0s)
[2025-11-18T20:17:45+02:00] transform success tdtpcli (resource=, records=0, duration=0s)
[2025-11-18T20:21:37+02:00] export success tdtpcli (resource=, records=0, duration=0s)
